bcgs,redshift,spec_z,sersic_n,sersic_re_arcsec,sersic_re_kpc
BCG-1,0.5352355,1,1.8493555433053352,0.35555952155802956,2.248622082856911
BCG-6,0.79,0,0.275303558467841,0.8609040166490033,6.435602114082273
BCG-7,0.8068,1,0.8664495629974703,0.3929092555869599,2.958348569988095
BCG-8,0.813,1,0.5178985953316163,0.3234969047960355,2.4419772175050203
BCG-9,0.84957,1,1.4417619999596174,1.2447911315280493,9.53119958679871
BCG-11,0.91651,1,0.5409032203173839,0.4425039245831821,3.4650208261801905
BCG-12,0.91886,1,2.5241336446802434,1.1050200491205946,8.658989490092766
BCG-13,1.04,0,1.432111338216812,0.9436819395482268,7.624458723894436
BCG-16,1.19372,1,2.2012700985506255,0.9821243038511529,8.138026448718362
BCG-18,1.38,0,0.918778140347946,0.3908961042988638,3.292394750330031
BCG-19,1.4,0,1.070950464593528,0.5098655947451888,4.298925036477979
BCG-21,1.45,0,0.5777733161969077,0.4785571422208178,4.0434669548050195
BCG-22,1.6,0,1.598519723413807,0.7631668297576191,6.464997532855989
BCG-23,1.636,1,1.2821260593463653,1.0393349276094652,8.803709198513122
BCG-24,1.65,0,2.014829631940361,0.33729790228349554,2.8568034378396185
BCG-25,1.7,0,0.8035431369415573,0.7100728141774992,6.010250164230741
